Brand,Name,Year,Model,Transmission,Kms,Owner,Fuel Type,Registration,EMI,Price,State
Hyundai,Hyundai i20,2010,MAGNA O 1.2,Manual,34913,2,Petrol,MH-02,4489,229599,Maharashtra
Maruti,Maruti Ritz,2012,VXI,Manual,77919,2,Petrol,MH-02,4616,236099,Maharashtra
Maruti,Maruti Swift,2020,VXI,Manual,25228,1,Petrol,MH-05,12469,637799,Maharashtra
Maruti,Maruti Swift,2012,VXI,Manual,35757,3,Petrol,MH-03,6246,319499,Maharashtra
Maruti,Maruti Swift,2013,VXI,Manual,37591,1,Petrol,MH-02,8067,412649,Maharashtra
Maruti,Maruti Swift,2012,VXI,Manual,38624,1,Petrol,MH-03,6407,327699,Maharashtra
Maruti,Maruti Wagon R 1.0,2012,LXI,Manual,14112,1,Petrol,MH-04,5883,300899,Maharashtra
Maruti,Maruti Swift,2012,ZXI,Manual,48307,1,Petrol + CNG,MH-04,8547,437199,Maharashtra
Maruti,Maruti Swift,2012,ZXI,Manual,45517,1,Petrol,MH-02,7693,393499,Maharashtra
Maruti,Maruti New  Wagon-R,2020,1.0 Lxi (o) cng,Manual,19063,1,Petrol + CNG,MH-05,11599,593299,Maharashtra
Maruti,Maruti Swift Dzire,2013,VXI,Manual,41558,1,Petrol,MH-43,7777,397799,Maharashtra
Maruti,Maruti Swift Dzire,2013,VXI,Manual,46227,1,Petrol,MH-02,8514,435499,Maharashtra
Maruti,Maruti Alto 800,2017,LXI,Manual,3560,1,Petrol,MH-48,5922,302899,Maharashtra
Renault,Renault Kwid,2022,CLIMBER 1.0,Manual,229,1,Petrol,MH-04,11212,573499,Maharashtra
Datsun,Datsun Redi Go,2016,T (O),Manual,56054,1,Petrol,MH-46,4190,214299,Maharashtra
Honda,Honda Brio,2012,1.2 S MT I VTEC,Manual,34456,2,Petrol,MH-02,5546,283699,Maharashtra
Maruti,Maruti Swift,2012,VXI,Manual,74741,1,Petrol,MH-04,6970,356499,Maharashtra
Hyundai,Hyundai AURA,2022,S CNG,Manual,12664,1,Petrol + CNG,MH-46,16693,888899,Maharashtra
Maruti,Maruti New  Wagon-R,2021,LXI CNG 1.0 L,Manual,24347,2,Petrol + CNG,MH-05,12491,638899,Maharashtra
Maruti,Maruti Swift Dzire,2012,ZXI 1.2 BS IV,Manual,76869,2,Petrol,MH-04,7973,407799,Maharashtra
Maruti,Maruti New  Wagon-R,2020,LXI CNG 1.0 L,Manual,18067,1,Petrol + CNG,MH-02,11924,609899,Maharashtra
Maruti,Maruti Swift Dzire,2012,VXI,Manual,87730,1,Petrol,MH-01,7564,386899,Maharashtra
Maruti,Maruti Swift Dzire,2015,VXI,Manual,10218,1,Petrol,MH-02,9615,491799,Maharashtra
Maruti,Maruti New  Wagon-R,2021,LXI CNG 1.0 L,Manual,15824,1,Petrol + CNG,MH-04,13435,687199,Maharashtra
Maruti,Maruti Swift,2014,VXI,Manual,39653,1,Petrol,MH-02,8160,417399,Maharashtra
Toyota,Toyota Corolla Altis,2016,VL AT,Automatic,91093,1,Petrol,MH-47,15307,815099,Maharashtra
Maruti,Maruti Swift,2013,VXI,Manual,39383,1,Petrol,MH-04,8178,418299,Maharashtra
Maruti,Maruti New  Wagon-R,2020,1.0 LXI (O),Manual,9215,2,Petrol,MH-05,9904,506599,Maharashtra
Maruti,Maruti Alto K10,2015,VXI,Manual,7593,1,Petrol,MH-03,5859,299699,Maharashtra
Honda,Honda City,2012,V AT,Automatic,56589,1,Petrol,MH-02,8624,441099,Maharashtra
Maruti,Maruti Celerio,2022,VXI CNG,Manual,1793,1,Petrol + CNG,MH-46,13353,682999,Maharashtra
Maruti,Maruti Ritz,2013,VXI,Manual,40723,1,Petrol,MH-02,7318,374299,Maharashtra
Honda,Honda City,2021,V MT PETROL,Manual,3252,1,Petrol,MH-04,21173,1127499,Maharashtra
Volkswagen,Volkswagen Polo,2020,Trendline 1.0 L Petrol,Manual,46697,1,Petrol + CNG,MH-04,11462,586299,Maharashtra
Maruti,Maruti Wagon R 1.0,2011,LXI CNG,Manual,94024,1,Petrol + CNG,MH-04,5079,259799,Maharashtra
Maruti,Maruti Alto 800,2017,LXI,Manual,18807,1,Petrol,MH-02,5582,285499,Maharashtra
Maruti,Maruti Celerio,2017,ZXI,Manual,40120,2,Petrol,MH-02,7398,378399,Maharashtra
Maruti,Maruti Wagon R 1.0,2012,VXI,Manual,41276,1,Petrol,MH-02,5666,289799,Maharashtra
Maruti,Maruti Swift,2019,ZXI + AMT,Automatic,36282,1,Petrol,MH-46,15226,778799,Maharashtra
Maruti,Maruti New  Wagon-R,2021,1.0 Lxi (o) cng,Manual,14926,1,Petrol + CNG,MH-09,13683,699899,Maharashtra
Maruti,Maruti New  Wagon-R,2021,ZXI 1.2,Manual,3955,2,Petrol,MH-01,12743,651799,Maharashtra
Maruti,Maruti New  Wagon-R,2021,ZXI 1.2L AGS,Automatic,5310,1,Petrol,MH-47,13757,703699,Maharashtra
Hyundai,Hyundai Grand i10,2015,MAGNA 1.2 VTVT,Manual,37356,2,Petrol,MH-04,7382,377599,Maharashtra
